price,sqft,beds,bath,laundry,pets,housing_type,parking,hood_district
5290,1420,3,2, in-unit, both, multi, protected,9
4800,1400,3,2, in-unit, cats, multi, no parking,9
3600,1000,3,1.5, on-site, no pets, multi, no parking,1
4295,830,1,1, in-unit, no pets, multi, no parking,9
3000,675,1,1, on-site, cats, multi, off-street,8
4999,1400,3,2, no laundry, no pets, multi, no parking,6
3700,1300,1,2, in-unit, no pets, multi, protected,9
2800,970,1,1, in-unit, no pets, multi, protected,9
3100,500,1,1, on-site, no pets, multi, no parking,7
1600,400,0,1, on-site, no pets, multi, no parking,8
1600,400,0,1, on-site, no pets, multi, no parking,8
5500,1500,3,2, in-unit, no pets, multi, protected,7
5500,1500,2,2, in-unit, no pets, multi, protected,7
2246,476,0,1, in-unit, both, multi, protected,2
3150,800,2,1, on-site, no pets, single, no parking,9
4900,1600,2,2, in-unit, both, multi, protected,9
3995,1800,4,2, on-site, both, multi, no parking,5
3995,1800,4,2, on-site, both, multi, no parking,9
3995,850,1,1, on-site, no pets, multi, no parking,7
4500,1700,2,2, in-unit, both, multi, no parking,7
2800,780,1,1, on-site, no pets, multi, protected,5
2800,790,1,1, on-site, no pets, multi, no parking,5
5300,1600,4,2, on-site, no pets, single, no parking,2
3575,1000,2,1, on-site, no pets, multi, no parking,8
3575,1000,2,1, on-site, no pets, multi, no parking,8
2195,450,0,1, no laundry, no pets, multi, no parking,9
7746,2450,4,3.5, in-unit, both, multi, protected,5
7746,2450,4,3.5, in-unit, both, multi, protected,5
2295,573,0,1, on-site, dogs, multi, no parking,8
5400,1600,3,2, in-unit, no pets, multi, no parking,7
2680,591,1,1.5, in-unit, both, multi, protected,9
3466,551,1,1, in-unit, both, multi, no parking,5
2595,627,1,1, in-unit, cats, multi, no parking,6
4200,1000,2,2, in-unit, no pets, multi, protected,2
1995,357,0,1, in-unit, cats, multi, no parking,6
3250,655,1,1, in-unit, both, multi, no parking,6
2075,346,0,1, in-unit, cats, multi, no parking,6
2075,346,0,1, in-unit, cats, multi, no parking,6
2986,503,1,1, in-unit, both, multi, valet,9
3190,840,2,1, on-site, cats, multi, no parking,8
4950,2000,4,2.5, in-unit, no pets, multi, protected,1
4495,1600,3,2, in-unit, no pets, multi, protected,1
2998,585,1,1, in-unit, both, multi, protected,9
2900,700,1,1, on-site, no pets, multi, no parking,7
1995,415,1,1, no laundry, cats, multi, protected,6
4100,1000,2,1, in-unit, both, multi, no parking,5
4750,1500,3,2, on-site, both, multi, protected,1
4536,914,2,1, in-unit, both, multi, protected,9
3775,1000,1,1, on-site, no pets, multi, protected,7
5695,1965,4,2, on-site, cats, multi, no parking,9
4495,1400,4,1, in-unit, both, multi, no parking,9
3295,850,1,1, on-site, cats, multi, protected,7
3000,950,1,1, on-site, no pets, multi, off-street,7
3295,800,1,1, on-site, no pets, multi, protected,7
3150,920,1,1, on-site, no pets, multi, protected,8
3550,1200,3,1.5, in-unit, no pets, multi, no parking,8
3450,950,2,2, on-site, no pets, multi, protected,8
2850,800,2,1, no laundry, no pets, multi, protected,2
2500,650,1,1, on-site, no pets, multi, protected,5
3950,985,1,1, in-unit, no pets, multi, protected,8
4695,1850,4,2.5, in-unit, no pets, single, protected,10
2995,700,1,1, on-site, no pets, multi, protected,9
7400,2208,5,2, in-unit, both, multi, no parking,7
2795,950,1,1, on-site, both, multi, no parking,8
7995,3000,2,2, on-site, both, multi, no parking,7
2882,796,1,1, in-unit, both, multi, protected,8
3800,1350,3,2, on-site, no pets, multi, no parking,2
2137,480,2,1, on-site, both, multi, no parking,8
2900,1000,2,1, on-site, no pets, multi, no parking,7
4000,1700,3,2, in-unit, no pets, multi, protected,9
2350,525,1,1, on-site, no pets, multi, protected,1
3500,1375,2,2, in-unit, no pets, single, protected,2
1950,700,0,1, no laundry, no pets, multi, no parking,8
2650,650,1,1, no laundry, cats, multi, no parking,8
2450,700,1,1, on-site, no pets, multi, no parking,7
3250,833,2,1, in-unit, both, multi, protected,9
2975,750,2,1, on-site, no pets, multi, protected,7
2975,880,2,1, no laundry, both, multi, no parking,8
6100,2000,3,2, on-site, no pets, multi, no parking,7
4800,2106,3,2.5, in-unit, both, multi, protected,9
3500,1000,2,1, on-site, no pets, multi, no parking,8
1950,600,1,1, on-site, no pets, double, no parking,2
5915,1783,3,3, in-unit, both, multi, no parking,8
1699,525,1,1, no laundry, no pets, double, no parking,1
3995,1000,2,2, in-unit, cats, multi, protected,5
3943,1452,3,2.5, no laundry, no pets, multi, no parking,10
2905,981,2,2, in-unit, both, multi, protected,10
3899,1102,2,2, in-unit, both, multi, no parking,9
3000,800,1,1, no laundry, cats, multi, off-street,1
2800,950,2,1, on-site, no pets, multi, no parking,7
2992,837,1,1, in-unit, both, multi, protected,9
4991,912,2,2, no laundry, no pets, multi, no parking,9
2750,627,1,1, in-unit, cats, multi, no parking,9
2850,800,1,1, on-site, no pets, multi, no parking,7
2100,550,0,1, no laundry, no pets, multi, no parking,7
3595,1000,2,1, on-site, no pets, multi, no parking,7
2685,596,1,1, in-unit, both, multi, protected,8
1775,320,0,1, on-site, no pets, multi, no parking,2
1795,450,0,1, on-site, both, multi, no parking,8
1800,500,0,1, on-site, no pets, multi, no parking,8
3500,700,2,2, on-site, both, multi, no parking,9
1700,307,1,1, on-site, no pets, multi, no parking,9
2395,700,1,1, no laundry, no pets, multi, no parking,5
2565,303,0,1, on-site, no pets, multi, no parking,9
5100,1250,3,1, no laundry, no pets, multi, no parking,8
4995,1236,3,2, in-unit, dogs, multi, protected,6
3150,800,1,1, on-site, no pets, multi, protected,9
3050,720,2,1, in-unit, cats, single, no parking,9
3000,744,1,1, on-site, both, multi, protected,4
3995,933,2,2, in-unit, both, multi, no parking,9
2700,900,3,1, no laundry, cats, multi, no parking,9
4500,1250,2,2, in-unit, no pets, multi, protected,9
2815,621,1,1, in-unit, both, multi, protected,6
3995,860,2,1, in-unit, both, multi, no parking,9
2800,700,2,1, on-site, no pets, multi, protected,6
2790,548,2,1, on-site, no pets, multi, no parking,8
2594,850,1,1, on-site, cats, multi, protected,7
2050,500,0,1, no laundry, no pets, multi, no parking,1
1600,289,0,1, no laundry, no pets, multi, no parking,6
5000,1600,3,2, in-unit, no pets, multi, no parking,5
9100,3200,5,3, in-unit, no pets, single, no parking,4
9000,2588,2,2.5, in-unit, no pets, multi, protected,8
3195,897,1,1, on-site, cats, multi, protected,5
2950,550,1,1, in-unit, no pets, multi, protected,9
2800,600,1,1, in-unit, both, multi, protected,8
4495,1500,3,2, on-site, both, multi, protected,5
3995,1400,3,1.5, no laundry, cats, multi, no parking,5
3400,1700,3,2, on-site, no pets, multi, protected,10
4995,1500,4,2, on-site, no pets, multi, no parking,8
2700,717,1,1, no laundry, no pets, multi, no parking,1
3250,901,1,2, in-unit, both, multi, protected,9
6800,1350,3,1, on-site, cats, multi, no parking,8
2500,350,0,1, no laundry, no pets, multi, no parking,8
2950,760,1,1, in-unit, both, multi, valet,8
4800,1050,3,3, in-unit, both, multi, no parking,9
3300,724,1,1, in-unit, both, multi, protected,9
2900,650,1,1, on-site, both, multi, no parking,5
3500,780,1,1, in-unit, both, multi, protected,9
3300,955,1,1, on-site, both, multi, protected,6
4500,1300,2,2, on-site, both, multi, protected,8
4305,1365,3,2.5, in-unit, both, multi, no parking,8
4495,1300,2,2, on-site, cats, multi, protected,7
3549,790,1,1, in-unit, both, multi, no parking,9
4300,1600,3,2, on-site, both, multi, protected,10
2099,525,0,1, on-site, both, multi, no parking,1
1600,410,0,1, on-site, no pets, multi, no parking,8
4675,1110,2,1, in-unit, no pets, multi, protected,7
2517,370,0,1, on-site, both, multi, no parking,9
2900,558,1,1, in-unit, no pets, multi, no parking,9
2995,609,1,1, on-site, no pets, multi, protected,9
6999,1925,5,2, in-unit, cats, multi, no parking,7
4900,1303,3,1, in-unit, both, multi, no parking,9
2880,750,2,1, in-unit, dogs, multi, no parking,1
